"iri","val"
"http://purl.obolibrary.org/obo/PATO_0000025","peco"
"http://purl.obolibrary.org/obo/PATO_0000025","to"
"http://purl.obolibrary.org/obo/PATO_0000025","upheno"
"http://purl.obolibrary.org/obo/PATO_0000025","wbphenotype"
"http://purl.obolibrary.org/obo/PATO_0000025","zp"
"http://purl.obolibrary.org/obo/PATO_0000026","flopo"
"http://purl.obolibrary.org/obo/PATO_0000027","flopo"
"http://purl.obolibrary.org/obo/PATO_0000028","flopo"
"http://purl.obolibrary.org/obo/PATO_0000029","flopo"
"http://purl.obolibrary.org/obo/PATO_0000030","flopo"
"http://purl.obolibrary.org/obo/PATO_0000031","flopo"
"http://purl.obolibrary.org/obo/PATO_0000032","flopo"
"http://purl.obolibrary.org/obo/PATO_0000033","agro"
"http://purl.obolibrary.org/obo/PATO_0000033","bcgo"
"http://purl.obolibrary.org/obo/PATO_0000033","ecocore"
"http://purl.obolibrary.org/obo/PATO_0000033","envo"
"http://purl.obolibrary.org/obo/PATO_0000033","flopo"
"http://purl.obolibrary.org/obo/PATO_0000033","gaz"
"http://purl.obolibrary.org/obo/PATO_0000033","ms"
"http://purl.obolibrary.org/obo/PATO_0000033","oba"
"http://purl.obolibrary.org/obo/PATO_0000033","uo"
"http://purl.obolibrary.org/obo/PATO_0000033","wbphenotype"
"http://purl.obolibrary.org/obo/PATO_0000034","flopo"
"http://purl.obolibrary.org/obo/PATO_0000035","flopo"
"http://purl.obolibrary.org/obo/PATO_0000036","flopo"
"http://purl.obolibrary.org/obo/PATO_0000037","flopo"
"http://purl.obolibrary.org/obo/PATO_0000037","to"
"http://purl.obolibrary.org/obo/PATO_0000037","upheno"
"http://purl.obolibrary.org/obo/PATO_0000037","zp"
"http://purl.obolibrary.org/obo/PATO_0000038","flopo"
"http://purl.obolibrary.org/obo/PATO_0000039","envo"
"http://purl.obolibrary.org/obo/PATO_0000039","flopo"
"http://purl.obolibrary.org/obo/PATO_0000039","gaz"
"http://purl.obolibrary.org/obo/PATO_0000039","mp"
"http://purl.obolibrary.org/obo/PATO_0000039","oba"
"http://purl.obolibrary.org/obo/PATO_0000039","upheno"
"http://purl.obolibrary.org/obo/PATO_0000039","zp"
"http://purl.obolibrary.org/obo/PATO_0000040","agro"
"http://purl.obolibrary.org/obo/PATO_0000040","flopo"
"http://purl.obolibrary.org/obo/PATO_0000040","nbo"
"http://purl.obolibrary.org/obo/PATO_0000040","planp"
"http://purl.obolibrary.org/obo/PATO_0000040","upheno"
"http://purl.obolibrary.org/obo/PATO_0000040","zp"
"http://purl.obolibrary.org/obo/PATO_0000041","flopo"
"http://purl.obolibrary.org/obo/PATO_0000042","flopo"
"http://purl.obolibrary.org/obo/PATO_0000043","flopo"
"http://purl.obolibrary.org/obo/PATO_0000043","to"
"http://purl.obolibrary.org/obo/PATO_0000044","agro"
"http://purl.obolibrary.org/obo/PATO_0000044","fypo"
"http://purl.obolibrary.org/obo/PATO_0000044","hp"
"http://purl.obolibrary.org/obo/PATO_0000044","mp"
"http://purl.obolibrary.org/obo/PATO_0000044","ms"
"http://purl.obolibrary.org/obo/PATO_0000044","oba"
"http://purl.obolibrary.org/obo/PATO_0000044","uo"
"http://purl.obolibrary.org/obo/PATO_0000044","upheno"
"http://purl.obolibrary.org/obo/PATO_0000044","vo"
"http://purl.obolibrary.org/obo/PATO_0000044","wbphenotype"
"http://purl.obolibrary.org/obo/PATO_0000044","zp"
"http://purl.obolibrary.org/obo/PATO_0000045","flopo"
"http://purl.obolibrary.org/obo/PATO_0000046","flopo"
"http://purl.obolibrary.org/obo/PATO_0000047","bcgo"
"http://purl.obolibrary.org/obo/PATO_0000047","obi"
"http://purl.obolibrary.org/obo/PATO_0000047","obib"
"http://purl.obolibrary.org/obo/PATO_0000047","omiabis"
"http://purl.obolibrary.org/obo/PATO_0000047","zp"
"http://purl.obolibrary.org/obo/PATO_0000048","flopo"
"http://purl.obolibrary.org/obo/PATO_0000048","oba"
"http://purl.obolibrary.org/obo/PATO_0000048","to"
"http://purl.obolibrary.org/obo/PATO_0000049","agro"
"http://purl.obolibrary.org/obo/PATO_0000049","envo"
"http://purl.obolibrary.org/obo/PATO_0000049","flopo"
"http://purl.obolibrary.org/obo/PATO_0000049","gaz"
"http://purl.obolibrary.org/obo/PATO_0000049","mp"
"http://purl.obolibrary.org/obo/PATO_0000049","oba"
"http://purl.obolibrary.org/obo/PATO_0000049","upheno"
"http://purl.obolibrary.org/obo/PATO_0000049","zp"
"http://purl.obolibrary.org/obo/PATO_0000050","mp"
"http://purl.obolibrary.org/obo/PATO_0000050","oba"
"http://purl.obolibrary.org/obo/PATO_0000050","upheno"
"http://purl.obolibrary.org/obo/PATO_0000050","wbphenotype"
"http://purl.obolibrary.org/obo/PATO_0000050","zp"
"http://purl.obolibrary.org/obo/PATO_0000051","agro"
"http://purl.obolibrary.org/obo/PATO_0000051","bcgo"
"http://purl.obolibrary.org/obo/PATO_0000051","cl"
"http://purl.obolibrary.org/obo/PATO_0000051","ecocore"
"http://purl.obolibrary.org/obo/PATO_0000051","envo"
"http://purl.obolibrary.org/obo/PATO_0000051","flopo"
"http://purl.obolibrary.org/obo/PATO_0000051","fypo"
"http://purl.obolibrary.org/obo/PATO_0000051","gaz"
"http://purl.obolibrary.org/obo/PATO_0000051","hp"
"http://purl.obolibrary.org/obo/PATO_0000051","mfmo"
"http://purl.obolibrary.org/obo/PATO_0000051","micro"
"http://purl.obolibrary.org/obo/PATO_0000051","mondo"
"http://purl.obolibrary.org/obo/PATO_0000051","mp"
"http://purl.obolibrary.org/obo/PATO_0000051","nbo"
"http://purl.obolibrary.org/obo/PATO_0000051","oba"
"http://purl.obolibrary.org/obo/PATO_0000051","omp"
"http://purl.obolibrary.org/obo/PATO_0000051","ontoneo"
"http://purl.obolibrary.org/obo/PATO_0000051","pco"
"http://purl.obolibrary.org/obo/PATO_0000051","peco"
"http://purl.obolibrary.org/obo/PATO_0000051","planp"
"http://purl.obolibrary.org/obo/PATO_0000051","poro"
