"iri","val"
"http://purl.obolibrary.org/obo/PATO_0000718",21
"http://purl.obolibrary.org/obo/PATO_0000719",2
"http://purl.obolibrary.org/obo/PATO_0000760",5
"http://purl.obolibrary.org/obo/PATO_0000761",4
"http://purl.obolibrary.org/obo/PATO_0000763",5
"http://purl.obolibrary.org/obo/PATO_0000769",11
"http://purl.obolibrary.org/obo/PATO_0000770",4
"http://purl.obolibrary.org/obo/PATO_0000911",30
"http://purl.obolibrary.org/obo/PATO_0000912",26
"http://purl.obolibrary.org/obo/PATO_0000915",18
"http://purl.obolibrary.org/obo/PATO_0000918",25
"http://purl.obolibrary.org/obo/PATO_0000921",14
"http://purl.obolibrary.org/obo/PATO_0000937",8
"http://purl.obolibrary.org/obo/PATO_0000938",3
"http://purl.obolibrary.org/obo/PATO_0000947",7
"http://purl.obolibrary.org/obo/PATO_0000950",3
"http://purl.obolibrary.org/obo/PATO_0000952",3
"http://purl.obolibrary.org/obo/PATO_0000955",16
"http://purl.obolibrary.org/obo/PATO_0000956",10
"http://purl.obolibrary.org/obo/PATO_0000957",21
"http://purl.obolibrary.org/obo/PATO_0000963",8
"http://purl.obolibrary.org/obo/PATO_0000964",7
"http://purl.obolibrary.org/obo/PATO_0000965",5
"http://purl.obolibrary.org/obo/PATO_0000970",28
"http://purl.obolibrary.org/obo/PATO_0000973",24
"http://purl.obolibrary.org/obo/PATO_0000984",11
"http://purl.obolibrary.org/obo/PATO_0000992",2
"http://purl.obolibrary.org/obo/PATO_0001005",3
"http://purl.obolibrary.org/obo/PATO_0001018",678
"http://purl.obolibrary.org/obo/PATO_0001019",69
"http://purl.obolibrary.org/obo/PATO_0001021",5
"http://purl.obolibrary.org/obo/PATO_0001022",2
"http://purl.obolibrary.org/obo/PATO_0001023",2
"http://purl.obolibrary.org/obo/PATO_0001024",2
"http://purl.obolibrary.org/obo/PATO_0001025",4
"http://purl.obolibrary.org/obo/PATO_0001026",5
"http://purl.obolibrary.org/obo/PATO_0001028",2
"http://purl.obolibrary.org/obo/PATO_0001029",18
"http://purl.obolibrary.org/obo/PATO_0001035",7
"http://purl.obolibrary.org/obo/PATO_0001043",4
"http://purl.obolibrary.org/obo/PATO_0001046",153
"http://purl.obolibrary.org/obo/PATO_0001154",7
"http://purl.obolibrary.org/obo/PATO_0001159",16
